player,pos,exp,hgt,team,conf,min,mpg,ast_to,usg,ortg,ts,year,ft_pct,two_pct,three_pct,rim_pct,mid_pct,porpag,dporpag,adj_oe,drtg,adj_de,stops,obpm,dbpm,bpm,oreb_rate,dreb_rate,ast,to,blk,stl,ftr,pfr,fg_pct,barthag,adj_o,adj_d,adj_t,wab,nc_elite_sos,nc_fut_sos,nc_cur_sos,ov_elite_sos,ov_fut_sos,ov_cur_sos,previous_team,previous_conference,is_transfer,previous_ortg,previous_drtg,previous_ts,previous_usg,previous_porpag,previous_adj_oe,previous_adj_de,previous_bpm,previous_team_adjo,previous_team_adjd,previous_barthag,change_ortg,change_drtg,change_ts,change_usg,change_porpag,change_adj_oe,change_adj_de,change_bpm,change_team_adjo,change_team_adjd,change_barthag
John Olmsted,Wing F,Sr,6-10,Montana St.,BSky,17.0,9.7778,1.43756328,18.5,117.6,66.02,2024,0.647,0.63,0.6,0.725,0.0,0.732397,0.598944,111.975,110.211,111.441,32.5163,-0.898118,-1.14694,-2.04506,4.6,16.1,19.8,19.9,1.5,0.3,33.3,4.9,0.627450980392157,0.405109,103.586,107.106,68.5956,-12.786395341466,11.0,0.3621,0.3621,8.0,0.3578,0.3578,Arizona St.,P12,True,102.9,98.4817,52.63,2.9,-0.0416319,80.4818,96.0969,0.158823,108.412,94.983,0.820653,14.699999999999989,11.729299999999995,13.389999999999993,15.6,0.7740289,31.493199999999987,15.344099999999997,-2.203883,-4.826000000000008,12.12299999999999,-0.41554399999999997
John Pettway,Wing G,Sr,6-3,Tennessee Tech,OVC,53.1,21.2258,0.91666233,20.9,98.4,56.93,2022,0.556,0.578,0.167,0.6538,0.3488,1.05284,1.53719,99.6719,104.54,106.557,123.393,-1.30321,-0.0324197,-1.33563,6.2,12.5,16.5,25.2,0.8,3.0,30.2,3.9,0.564245810055866,0.320037,100.493,107.299,69.1068,-14.187990650516,21.0,0.4736,0.4736,15.0,0.4318,0.4318,South Alabama,SB,True,97.6,106.844,55.05,18.4,1.11623,94.4372,110.995,-2.87826,102.366,107.756,0.356623,0.8000000000000114,-2.303999999999988,1.8800000000000026,2.5,-0.06339000000000006,5.2346999999999895,-4.438000000000002,1.54263,-1.8730000000000047,-0.45699999999999363,-0.03658600000000001
John Shanu II,C,So,6-11,UT Rio Grande Valley,WAC,16.6,8.8696,0.40003066,11.6,94.2,60.71,2023,0.571,0.609,0.0,0.6,0.6667,-0.15339,0.668982,82.2339,108.672,107.439,35.5977,-4.97333,0.845464,-4.12786,6.8,14.3,5.8,32.0,5.9,0.3,60.9,9.4,0.608695652173913,0.300985,102.265,110.039,72.493,-10.417480012693,12.0,0.2864,0.2864,14.0,0.4486,0.4486,Old Dominion,CUSA,True,79.6,104.637,25.64,18.3,-0.0354228,76.7488,106.708,-6.6885,101.226,99.6403,0.545282,14.600000000000009,4.034999999999997,35.07,-6.700000000000001,-0.1179672,5.485100000000003,0.7309999999999945,2.5606400000000002,1.0390000000000015,10.398700000000005,-0.24429700000000004
John Shanu II,C,Sr,11-Jun,Eastern Michigan,MAC,21.8,9.5133,0.53842605,8.9,98.8,52.67,2025,0.222,0.593,0.0,0.5926,,-0.293546,0.505432,80.6887,114.491,116.127,41.4393,-4.89338,-0.60247,-5.49585,7.6,10.4,3.8,24.3,5.1,0.9,32.1,6.0,0.571428571,,,,,,9.0,0.3763,0.3763,9.0,0.3837,0.3837,UT Rio Grande Valley,WAC,True,94.2,108.672,60.71,11.6,-0.15339,82.2339,107.439,-4.12786,102.265,110.039,0.300985,4.599999999999994,5.819000000000003,-8.04,-2.6999999999999993,-0.14015599999999998,-1.5452000000000083,8.688000000000002,-1.3679899999999998,,,
John Tonje,Wing G,Sr,6-6,Missouri,SEC,6.1,9.75,0.66666667,14.6,105.2,68.52,2024,1.0,0.667,0.333,0.6667,0.6667,0.314724,0.628673,98.0243,115.831,111.704,10.421,-3.02941,-1.07285,-4.10227,1.5,7.6,9.3,31.0,1.5,1.5,58.3,3.6,0.5,0.5917,108.41,104.969,66.7238,-11.439567095102,22.0,0.4961,0.4961,31.0,0.6813,0.6813,Colorado St.,MWC,True,106.1,106.932,59.88,23.5,2.9686,114.9,103.74,1.70715,110.907,104.573,0.662913,-0.8999999999999915,8.899000000000001,8.639999999999993,-8.9,-2.653876,-16.87570000000001,7.963999999999999,-5.809419999999999,-2.497,0.3960000000000008,-0.07121299999999997
John Tonje,Wing G,Sr,5-Jun,Wisconsin,B10,77.5,31.1,0.98530848,26.8,123.8,64.68,2025,0.909,0.541,0.388,0.6204,0.4096,5.55526,3.75118,141.43,103.707,96.9018,206.48,8.17968,1.79433,9.97401,3.0,15.6,11.9,12.9,0.8,1.4,57.9,2.2,0.464692483,,,,,,19.0,0.5008,0.5008,37.0,0.7418,0.7418,Missouri,SEC,True,105.2,115.831,68.52,14.6,0.314724,98.0243,111.704,-4.10227,108.41,104.969,0.5917,18.599999999999994,-12.12400000000001,-3.839999999999989,12.200000000000001,5.240536,43.40570000000001,-14.8022,14.07628,,,
John Wade III,Wing G,Sr,5-Jun,Southern Miss,SB,17.5,14.58,1.04764284,18.4,74.0,37.95,2025,0.5,0.333,0.261,0.3333,0.3333,-0.916503,1.3737,71.5128,101.529,104.401,49.495,-6.30991,1.37451,-4.9354,5.0,20.1,18.3,29.2,0.5,3.6,28.0,4.6,0.3,,,,,,13.0,0.4229,0.4229,11.0,0.4147,0.4147,Cal St. Northridge,BW,True,77.0,104.777,29.8,11.6,-0.749278,66.1641,106.955,-5.92313,94.6609,108.753,0.168556,-3.0,-3.2480000000000047,8.150000000000002,6.799999999999999,-0.16722499999999996,5.348699999999994,-2.554000000000002,0.98773,,,
John-Michael Wright,Combo G,Sr,6-1,Oklahoma St.,B12,74.8,30.1389,1.22033068,18.4,99.4,49.5,2023,0.81,0.394,0.34,0.4853,0.2881,1.65426,3.55043,103.158,100.507,95.0459,174.468,0.395154,1.92378,2.31893,1.6,8.7,13.4,17.5,0.3,1.6,17.6,2.2,0.360606060606061,0.837993,106.266,92.1156,67.4226,0.1351887582694,18.0,0.5397,0.5397,34.0,0.7345,0.7345,High Point,BSth,True,100.8,104.94,51.21,28.9,3.079,110.863,106.229,0.711805,98.7881,103.785,0.361819,-1.3999999999999915,-4.432999999999993,-1.7100000000000009,-10.5,-1.4247400000000001,-7.704999999999998,-11.183099999999996,1.607125,7.477900000000005,-11.669399999999996,0.476174
Johnathan DeJurnett,C,Sr,8-Jun,Purdue Fort Wayne,Horz,1.4,4.6,0.0,1.2,221.7,0.0,2025,0.0,0.0,0.0,,,0.880199,0.280254,168.093,105.28,106.844,3.27471,-4.63063,1.38983,-3.24081,7.2,14.7,0.0,0.0,0.0,3.4,0.0,4.8,,,,,,,,,,,,,Fort Wayne,Horz,True,121.1,100.577,58.42,9.1,0.313407,98.7189,102.952,-2.47665,,,,100.6,4.703000000000003,-58.42,-7.8999999999999995,0.566792,69.37409999999998,3.891999999999996,-0.7641600000000004,,,
Johnathan Lawson,PF/C,So,6-6,Creighton,BE,4.0,3.4118,1.66628895,18.0,88.6,35.66,2024,0.667,0.6,0.111,0.6667,0.5,0.00188305,0.346823,88.7356,104.298,101.281,9.08304,-4.0594,-0.78144,-4.84084,8.8,14.3,13.5,17.1,1.5,0.0,21.4,3.4,0.285714285714286,0.930859,121.678,97.0567,66.7295,4.394713220734,24.0,0.59,0.59,34.0,0.7152,0.7152,Memphis,Amer,True,100.5,104.34,59.55,12.3,0.298771,92.7892,101.494,0.47172,115.352,95.0097,0.90301,-11.900000000000006,-0.04200000000000159,-23.89,5.699999999999999,-0.29688795,-4.053599999999989,-0.21299999999999386,-5.31256,6.325999999999993,2.0470000000000113,0.027849000000000013
